id,venue,year,authors,title,entityUrl
874,ACM Trans. Database Syst.,1994,"Arthur J. Bernstein, Narayanan Krishnakumar",Bounded Ignorance: A Technique for Increasing Concurrency in a Replicated System,journals/tods/KrishnakumarB94
875,SIGMOD Record,1994,Arie Segev,Editor's Notes and Erratum,journals/sigmod/Segev94b
876,SIGMOD Conference,1995,Herb Edelstein,Research and Products: Are They Relevant To Each Other? (Panel),conf/sigmod/Edelstein95
877,SIGMOD Record,1999,"Leonard J. Seligman, Michael J. Carey",NSF Workshop on Industrial/Academic Cooperation in Database Systems,journals/sigmod/CareyS99
878,VLDB,2001,"Sorana Rabinovici, John Catozzi",Operating System Extensions for the Teradata Parallel VLDB,conf/vldb/CatozziR01
879,VLDB,2003,"Liang Huai Yang, Mong-Li Lee, Wynne Hsu",Efficient Mining of XML Query Patterns for Caching,conf/vldb/YangLH03
880,SIGMOD Conference,1996,"Ravi Krishnamurthy, Charles Hoch, Nita Goyal, Michael Suckow, Brian Meckler",Is GUI Programming a Database Research Problem?,conf/sigmod/GoyalHKMS96
881,SIGMOD Record,2001,Terence Critchlow,Report on XEWA-00: The XML Enabled Wide-Area Searches for Bioinformatics Workshop,journals/sigmod/Critchlow01
882,VLDB,2002,Armando Fox,Toward Recovery-Oriented Computing,conf/vldb/Fox02
883,VLDB,2002,"T. V. Ashwin, Rahul Gupta, Sugata Ghosal",Adaptable Similarity Search using Non-Relevant Information,conf/vldb/AshwinGG02
884,VLDB,2000,"James L. Edwards, Meridith A. Lane, Ebbe Nielsen","Biodiversity Informatics: The Challenge of Rapid Development, Large Databases, and Complex Data (Keynote)",conf/vldb/LaneEN00
885,SIGMOD Record,1996,"Anil Kumar, Vassilis J. Tsotras",Temporal Database Bibliography Update,journals/sigmod/TsotrasK96
886,SIGMOD Record,1996,"Mick J. Jordan, Susan Spence, Laurent Dayn�s, Malcolm P. Atkinson, Tony Printezis",An Orthogonally Persistent Java,journals/sigmod/AtkinsonDJPS96
887,SIGMOD Conference,2003,"Yan Zhao, Laks V. S. Lakshmanan, Jian Pei",SOCQET: Semantic OLAP with Compressed Cube and Summarization,conf/sigmod/LakshmananPZ03a
888,SIGMOD Conference,2003,"Yahiko Kambayashi, Koichi Goto",Integration of Electronic Tickets and Personal Guide System for Public Transport using Mobile Terminals,conf/sigmod/GotoK03
889,ACM Trans. Database Syst.,1996,Kenneth A. Ross,Tail Recursion Elimination in Deductive Databases,journals/tods/Ross96
890,VLDB,2000,"Maurizio Panti, Alberto Giretti, Luca Spalazzi",A Case-Based Approach to Information Integration,conf/vldb/PantiSG00
891,SIGMOD Record,1999,"Lyman Do, Pamela Drew, Prabhu Ram",Distributed Transactions in Practice,journals/sigmod/RamDD99
892,VLDB,1996,"Zhao-Hui Tang, Fei Sha, Georges Gardarin","Calibrating the Query Optimizer Cost Model of IRO-DB, an Object-Oriented Federated Database System",conf/vldb/GardarinST96
893,SIGMOD Record,2001,"Elisa Bertino, Ahmed K. Elmagarmid, Mohand-Said Hacid",Quality of Service in Multimedia Digital Libraries,journals/sigmod/BertinoEH01
894,SIGMOD Record,2001,"Jean-Christophe R. Pazzaglia, Chiara Biancheri, Gavino Paddeu",EIHA?!?: Deploying Web and WAP services using XML Technology,journals/sigmod/BiancheriPP01
895,SIGMOD Conference,1999,"Swarup Acharya, Viswanath Poosala, Phillip B. Gibbons, Sridhar Ramaswamy",Join Synopses for Approximate Query Answering,conf/sigmod/AcharyaGPR99a
896,VLDB,1999,"Martin van den Berg, Soumen Chakrabarti, Byron Dom",Distributed Hypertext Resource Discovery Through Examples,conf/vldb/ChakrabartiBD99
897,SIGMOD Conference,2003,George Colliat,Data Management Challenges in CRM,conf/sigmod/Colliat03
898,SIGMOD Record,2000,"Andrew Eisenberg, Jim Melton",SQL Standardization: The Next Steps,journals/sigmod/EisenbergM00
899,SIGMOD Conference,1997,"Miron Livny, Raghu Ramakrishnan, Donko Donjerkovic, Shilpa Lawande, Jussi Myllymaki, Guangshun Chen, R. Kent Wenger, Kevin S. Beyer",DEVise: Integrated Querying and Visualization of Large Datasets,conf/sigmod/LivnyRBCDLMW97
900,VLDB,1996,"Jeffrey F. Naughton, Amit Shukla, Karthikeyan Ramasamy, Prasad Deshpande",Storage Estimation for Multidimensional Aggregates in the Presence of Hierarchies,conf/vldb/ShuklaDNR96
901,SIGMOD Conference,2003,"Bernhard Seeger, Dimitris Papadias, Greg Fu, Yufei Tao",An Optimal and Progressive Algorithm for Skyline Queries,conf/sigmod/PapadiasTFS03
902,SIGMOD Record,2002,"Steffen Staab, Rudi Studer, York Sure",Methodology for Development and Employment of Ontology Based Knowledge Management Applications,journals/sigmod/SureSS02
903,SIGMOD Conference,2002,"Alin Dobra, Johannes Gehrke, Rajeev Rastogi, Minos N. Garofalakis",Processing complex aggregate queries over data streams,conf/sigmod/DobraGGR02
904,VLDB,2003,Felipe Cabrera,Web Services (Industrial Session),conf/vldb/Cabrera03
905,SIGMOD Conference,1998,"Chris Clifton, Svetlozar Nestorov, Rajeev Motwani, Shalom Tsur, Jeffrey D. Ullman, Arnon Rosenthal, Serge Abiteboul",Query Flocks: A Generalization of Association-Rule Mining,conf/sigmod/TsurUACMNR98
906,VLDB,2002,"Maxim Lifantsev, Tzi-cker Chiueh",I/O-Conscious Data Preparation for Large-Scale Web Search Engines,conf/vldb/LifantsevC02
907,SIGMOD Record,1999,Richard T. Snodgrass,Reminiscences on Influential Papers,journals/sigmod/Snodgrass99b
908,SIGMOD Conference,1998,"Jing Chen, Louxin Zhang, Limsoon Wong",A Protein Patent Query System Powered By Kleisli,conf/sigmod/ChenWZ98
909,SIGMOD Record,1997,"Abraham Silberschatz, Stanley B. Zdonik",Database Systems - Breaking Out of the Box,journals/sigmod/SilberschatzZ97
910,VLDB,1995,Andreas Meier,Providing Database Migration Tools - A Practicioner's Approach,conf/vldb/Meier95
911,ACM Trans. Database Syst.,1994,"Panos K. Chrysanthis, Krithi Ramamritham",Synthesis of Extended Transaction Models Using ACTA,journals/tods/ChrysanthisR94
912,SIGMOD Conference,1998,"Joseph M. Hellerstein, Mehul A. Shah, Marcel Kornacker",amdb: An Access Method Debugging Tool,conf/sigmod/KornackerSH98
913,VLDB,1998,"Juan Loaiza, Ashok Joshi, Tirthankar Lahiri, William Bridge",Checkpointing in Oracle,conf/vldb/JoshiBLL98
914,VLDB J.,1995,?,"Title, Foreword, VLDB Journal to be published electronically, Index Vol. 4",journals/vldb/C95c
915,SIGMOD Record,1999,"Martin Staudt, Yannis Vassiliou, Manfred A. Jeusfeld, Stella Gatziu",Design and Management of Data Warehouses: Report on the DMDW'99 Workshop,journals/sigmod/GatziuJSV99
916,SIGMOD Conference,2003,"Ramakrishnan Srikant, Rakesh Agrawal, Alexandre V. Evfimievski",Information Sharing Across Private Databases,conf/sigmod/AgrawalES03
917,SIGMOD Conference,1995,"Jeffrey F. Naughton, Ambuj Shatdal",Adaptive Parallel Aggregation Algorithms,conf/sigmod/ShatdalN95
918,SIGMOD Conference,1999,"Jayant Sharma, Kothuri Venkata Ravi Kanth, Jay Banerjee, Siva Ravada",Indexing Medium-dimensionality Data in Oracle,conf/sigmod/KanthRSB99
919,SIGMOD Conference,1995,"Jennifer Widom, Hector Garcia-Molina, Yue Zhuge, Joachim Hammer",View Maintenance in a Warehousing Environment,conf/sigmod/ZhugeGHW95
920,SIGMOD Record,1999,Richard T. Snodgrass,Chair's Message,journals/sigmod/Snodgrass99
921,SIGMOD Conference,2000,"Vincent Oria, Benjamin Bin Yao, Shu Lin, Paul Iglinski, M. Tamer �zsu",DISIMA: A Distributed and Interoperable Image Database System,conf/sigmod/OriaOILY00
922,VLDB,2001,"Laurent Mignet, Am�lie Marian, Gregory Cobena, Serge Abiteboul",Change-Centric Management of Versions in an XML Warehouse,conf/vldb/MignetMAC01
923,VLDB,1999,"Rajeev Rastogi, Kyuseok Shim, Minos N. Garofalakis",SPIRIT: Sequential Pattern Mining with Regular Expression Constraints,conf/vldb/GarofalakisRS99
924,VLDB,2000,Sunita Sarawagi,User-Adaptive Exploration of Multidimensional Data,conf/vldb/Sarawagi00
925,SIGMOD Record,1996,"Sang Hyuk Son, Rasikan David, Bhavani M. Thuraisingham",Improving Timeliness in Real-Time Secure Database Systems,journals/sigmod/SonDT96
926,SIGMOD Record,2000,"Dan Suciu, Hartmut Liefke",An Extensible Compressor for XML Data,journals/sigmod/LiefkeS00
927,VLDB J.,1994,"Daniel Barbar�, Hector Garcia-Molina",The Demarcation Protocol: A Technique for Maintaining Constraints in Distributed Database Systems,journals/vldb/Barbara-MillaG94
928,VLDB,2002,"Mitch Cherniack, Stanley B. Zdonik, Nesime Tatbul, Ugur �etintemel, Greg Seidman, Michael Stonebraker, Christian Convey, Donald Carney, Sangdon Lee",Monitoring Streams - A New Class of Data Management Applications,conf/vldb/CarneyCCCLSSTZ02
929,VLDB,1994,"Jignesh M. Patel, Jie-Bing Yu, Navin Kabra, David J. DeWitt, Jun Luo",Client-Server Paradise,conf/vldb/DeWittKLPY94
930,VLDB,1998,Laurent Vieille,From Data Independence to Knowledge Independence: An on-going Story,conf/vldb/Vieille98
931,SIGMOD Conference,1999,Dirk D�llmann,Petabyte Databases,conf/sigmod/Dullmann99
932,SIGMOD Conference,1999,"Vasilis Vassalos, Yannis Papakonstantinou",Query Rewriting for Semistructured Data,conf/sigmod/PapakonstantinouV99
933,ACM Trans. Database Syst.,1997,"C�sar A. Galindo-Legaria, Arnon Rosenthal",Outerjoin Simplification and Reordering for Query Optimization,journals/tods/Galindo-LegariaR97
934,SIGMOD Record,1998,Richard T. Snodgrass,Reminiscences on Influential Papers,journals/sigmod/Snodgrass98a
935,VLDB J.,1998,"Hanan Samet, Aya Soffer",Integrating Symbolic Images into a Multimedia Database System Using Classification and Abstraction Approaches,journals/vldb/SofferS98
936,SIGMOD Conference,2000,"Bernhard Seeger, Jens-Peter Dittrich, Jochen Van den Bercken",javax.XXL: A prototype for a Library of Query processing Algorithms,conf/sigmod/BerckenDS00
937,SIGMOD Conference,1995,Clark D. French,``One Size Fits All'' Database Architectures Do Not Work for DDS,conf/sigmod/French95
938,SIGMOD Record,2002,Marianne Winslett,Interview with David Maier,journals/sigmod/Winslett02c
939,SIGMOD Conference,2003,"Prasanna Ganesan, Sunita Sarawagi, Surajit Chaudhuri",Factorizing Complex Predicates in Queries to Exploit Indexes,conf/sigmod/ChaudhuriGS03
940,VLDB J.,1996,"Krithi Ramamritham, Panos K. Chrysanthis",A Taxonomy of Correctness Criteria in Database Applications,journals/vldb/RamamrithamC96
941,SIGMOD Record,2003,Ling Liu,Editor's Notes,journals/sigmod/Liu03c
942,SIGMOD Record,2002,Karl Aberer,Book Review Column,journals/sigmod/Aberer02a
943,SIGMOD Conference,2001,"Jiawei Han, Liangyou Chen, Jian Pei, Ying Lu, Yaqin Liao, Hasan M. Jamil",DNA-Miner: A System Prototype for Mining DNA Sequences,conf/sigmod/HanPLJ01
944,SIGMOD Conference,2002,Prakash Ramanan,Efficient algorithms for minimizing tree pattern queries,conf/sigmod/Ramanan02
945,VLDB,2000,John L. Schnase,Research Directions in Biodiversity Informatics,conf/vldb/Schnase00
946,VLDB,2002,Patricia G. Selinger,Information Integration and XML in IBM's DB2,conf/vldb/Selinger02
947,SIGMOD Record,2003,"Mayank Bawa, Sergio Marti, Sepandar D. Kamvar, Brian Cooper, Mario T. Schlosser, Neil Daswani, Qi Sun, Hector Garcia-Molina, Arturo Crespo, Beverly Yang, Patrick Vinograd, Prasanna Ganesan",Peer-to-peer research at Stanford,journals/sigmod/BawaCCDGGKMSSVY03
948,SIGMOD Record,1994,Arjan Loeffen,Text Databases: A Survey of Text Models and Systems,journals/sigmod/Loeffen94
949,SIGMOD Conference,2001,"Pavan Deolasee, Amol Katkar, Krithi Ramamritham, Ankur Panchbudhe, Prashant J. Shenoy",Dissemination of Dynamic Data,conf/sigmod/DeolaseeKPRS01
950,VLDB,2001,"Yixin Ruan, Kian-Lee Tan, Jason Chionh, Lidan Shou, Zhiyong Huang",Walking Through a Very Large Virtual Environment in Real-time,conf/vldb/TanSHCR01
951,VLDB,2001,"Fabio Casati, Daniela Grigori, Umeshwar Dayal, Ming-Chien Shan","Improving Business Process Quality through Exception Understanding, Prediction, and Prevention",conf/vldb/CasatiDGS01
952,SIGMOD Record,2002,"Ratko Orlandic, Craig Swietlik, Jack Lukaszuk",The Design of a Retrieval Technique for High-Dimensional Data on Tertiary Storage,journals/sigmod/OrlandicLS02
953,SIGMOD Conference,1996,"Tam Nguyen, V. Srinivasan",Accessing Relational Databases from the World Wide Web,conf/sigmod/NguyenS96
954,VLDB,2000,?,"High-Performance and Scalability through Application Tier,In-Memory Data Management",conf/vldb/Team00
955,SIGMOD Conference,1996,"Eugene J. Shekita, David E. Simmen, Timothy Malkemus",Fundamental Techniques for Order Optimization,conf/sigmod/SimmenSM96
956,VLDB J.,2002,"George A. Mihaila, Louiqa Raschid, Anthony Tomasic",Locating and accessing data repositories with WebSemantics,journals/vldb/MihailaRT02
957,VLDB J.,2001,"Kyu-Young Whang, Gunter Schlageter, Amr El Abbadi",Guest editorial,journals/vldb/AbbadiSW01
958,SIGMOD Record,2000,"S. Sudarshan, Charu C. Aggarwal, Mihalis Yannakakis, Alfons Kemper, Kenneth A. Ross, Sunita Sarawagi",Reminiscences on Influential Papers,journals/sigmod/RossAKSSY00
959,SIGMOD Conference,1998,"Luc Segoufin, Philippe Rigaux, St�phane Grumbach",The DEDALE System for Complex Spatial Queries,conf/sigmod/GrumbachRS98
960,VLDB,1996,"Bj�rn ��r J�nsson, Shaul Dar, Divesh Srivastava, Michael Tan, Michael J. Franklin",Semantic Data Caching and Replacement,conf/vldb/DarFJST96
961,VLDB,1998,"Mitch Cherniack, Stanley B. Zdonik",Inferring Function Semantics to Optimize Queries,conf/vldb/CherniackZ98
962,SIGMOD Record,2001,David B. Lomet,The Evolution of Effective B-tree: Page Organization and Techniques: A Personal Account,journals/sigmod/Lomet01
963,VLDB,1997,"D. Wildfogel, Ramana Yerneni",Efficient Testing of High Performance Transaction Processing Systems,conf/vldb/WildfogelY97
964,VLDB,2002,"Peter A. Boncz, Martin L. Kersten, Stefan Manegold",Generic Database Cost Models for Hierarchical Memory Systems,conf/vldb/ManegoldBK02
965,SIGMOD Record,1997,"Nectaria Tryfona, Thanasis Hadzilacos",An Extended Entity-Relationship Model for Geographic Applications,journals/sigmod/HadzilacosT97
966,VLDB,2002,"Shlomo Moran, Ronny Lempel",Optimizing Result Prefetching in Web Search Engines with Segmented Indices,conf/vldb/LempelM02
967,VLDB,1994,Michael Lesk,Experiments on Access to Digital Libraries: How can Images and Text be Used Together,conf/vldb/Lesk94
968,SIGMOD Record,2001,"James R. Hamilton, Limsoon Wong, Kenneth A. Ross, Laks V. S. Lakshmanan",Reminiscences on Influential Papers,journals/sigmod/RossHLW01
969,ACM Trans. Database Syst.,1998,Sharad Mehrotra,Ensuring Consistency in Multidatabases by Preserving Two-Level Serializability,journals/tods/MehrotraRKS98
970,SIGMOD Conference,1997,"Michael J. Carey, Anil Nori, Nelson Mendon�a Mattos","Object-Relational Database Systems: Principles, Products, and Challenges (Tutorial)",conf/sigmod/CareyMN97
971,VLDB J.,1997,"Alexandros Biliris, Euthimios Panagos",Synchronization and Recovery in a Client-Server Storage System,journals/vldb/PanagosB97
972,SIGMOD Conference,1995,"Brad Adelberg, Hector Garcia-Molina, Ben Kao",Applying Update Streams in a Soft Real-Time Database System,conf/sigmod/AdelbergGK95
973,SIGMOD Conference,1999,"Alexander Brodsky, Pavel A. Exarkhopoulo, Victor E. Segal, Jia Chen",The CCUBE Constraint Object-Oriented Database System,conf/sigmod/BrodskySCE99
974,SIGMOD Conference,2000,Joseph M. Hellerstein,Index Research: Forest or Trees? (Panel Abstract),conf/sigmod/Hellerstein00
975,SIGMOD Conference,1994,Susanne Englert,NonStop SQL: Scalability and Availability for Decision Support,conf/sigmod/Englert94
976,VLDB J.,2002,"Arunprasad P. Marathe, Kenneth Salem",Query processing techniques for arrays,journals/vldb/MaratheS02
977,SIGMOD Record,2001,"Asterio K. Tanaka, Patrick Valduriez",The Ecobase Project: Database and Web Technologies for Environmental Information Systems,journals/sigmod/TanakaV01
978,SIGMOD Conference,1998,"Alfons Kemper, Florian Matthes, Donald Kossmann",SAP R/3: A Database Application System (Tutorial),conf/sigmod/KemperKM98
979,SIGMOD Conference,1998,Edwin R. Lassettre,Olympic Records for Data at the 1998 Nagano Games,conf/sigmod/Lassettre98
980,SIGMOD Conference,1994,"M. Toiati, Michele Missikoff",MOSAICO - A System for Conceptual Modeling and Rapid Prototyping of Object-Oriented Database Application,conf/sigmod/MissikoffT94
981,VLDB,2003,"Michael J. Franklin, Yanlei Diao",Query Processing for High-Volume XML Message Brokering,conf/vldb/DiaoF03
982,SIGMOD Record,2002,Joachim Hammer,Treasurer's Message,journals/sigmod/Hammer02a
983,SIGMOD Record,2002,M. Tamer �zsu,Chair's Message,journals/sigmod/Ozsu02a
984,VLDB,2002,"Stephen Blott, Henry F. Korth",An Almost-Serial Protocol for Transaction Execution in Main-Memory Database Systems,conf/vldb/BlottK02
985,VLDB,2000,"Jiawei Han, Ke Wang, Yu He",Mining Frequent Itemsets Using Support Constraints,conf/vldb/WangHH00
986,VLDB J.,1995,"Edward Maros, Darrel J. Van Buer, Marjorie Templeton, Herbert Henley",InterViso: Dealing With the Complexity of Federated Database Access,journals/vldb/TempletonHMB95
987,SIGMOD Conference,1994,Jos� A. Blakeley,Open Object Database Management Systems,conf/sigmod/Blakeley94
988,VLDB,1997,"Ernest Teniente, Elena Baralis, Stefano Paraboschi",Materialized Views Selection in a Multidimensional Database,conf/vldb/BaralisPT97
989,SIGMOD Conference,1997,"Donald Kossmann, Michael J. Carey",On Saying Enough Already! in SQL,conf/sigmod/CareyK97
990,SIGMOD Conference,1994,"Mark L. McAuliffe, C. K. Tan, Marvin H. Solomon, Nancy E. Hall, Michael J. Zwilling, Michael J. Carey, Michael J. Franklin, Seth J. White, Jeffrey F. Naughton, David J. DeWitt, Odysseas G. Tsatalos, Daniel T. Schuh",Shoring Up Persistent Applications,conf/sigmod/CareyDFHMNSSTTWZ94
991,VLDB,2003,"Michael Stonebraker, Nesime Tatbul, Mitch Cherniack, Stanley B. Zdonik, Ugur �etintemel",Load Shedding in a Data Stream Manager,conf/vldb/TatbulCZCS03
992,SIGMOD Conference,1994,"Tova Milo, Mariano P. Consens",Optimizing Queries on Files,conf/sigmod/ConsensM94
993,VLDB,1998,"Johannes Gehrke, Venkatesh Ganti, Raghu Ramakrishnan",RainForest - A Framework for Fast Decision Tree Construction of Large Datasets,conf/vldb/GehrkeRG98
994,VLDB,1999,"Donko Donjerkovic, Raghu Ramakrishnan",Probabilistic Optimization of Top N Queries,conf/vldb/DonjerkovicR99
995,VLDB,1995,"Paul Brown, Michael Stonebraker",BigSur: A System For the Management of Earth Science Data,conf/vldb/BrownS95
996,SIGMOD Record,1995,"Arnon Rosenthal, Edward Lafferty, Leonard J. Seligman, Catherine D. McCollum, Bhavani M. Thuraisingham, Barbara T. Blaustein",Data Management Research at The MITRE Corporation,journals/sigmod/RosenthalSMBTL95
997,VLDB,2003,"Carmem S. Hara, Susan B. Davidson, Yi Chen, Yifeng Zheng",RRXF: Redundancy reducing XML storage in relations,conf/vldb/ChenDZ03
998,VLDB J.,2003,"Sirish Chandrasekaran, Michael J. Franklin",PSoup: a system for streaming queries over streaming data,journals/vldb/ChandrasekaranF03
999,VLDB,2001,"Ahmed K. Elmagarmid, Athman Bouguettaya, Mourad Ouzzani, Brahim Medjahed",Ontology-based Support for Digital Government,conf/vldb/BouguettayaEMO01
1000,SIGMOD Conference,2001,"Benjamin Nguyen, Serge Abiteboul, Gregory Cobena, Mihai Preda",Monitoring XML Data on the Web,conf/sigmod/NguyenACP01
1001,SIGMOD Conference,1995,"Umeshwar Dayal, Surajit Chaudhuri, Tak W. Yan",Join Queries with External Text Sources: Execution and Optimization Techniques,conf/sigmod/ChaudhuriDY95
